State,Name,Total,Gender,Year
AK,Liam,65,M,2014
AK,Liam,63,M,2013
AK,Emma,57,F,2012
AL,William,437,M,2012
AL,William,437,M,2013
AL,William,427,M,2014
AR,Emma,220,F,2014
AR,William,217,M,2012
AR,Emma,214,F,2013
AZ,Sophia,604,F,2013
AZ,Sophia,586,F,2012
AZ,Isabella,488,F,2012
CA,Sophia,3634,F,2012
CA,Sophia,3451,F,2013
CA,Sophia,3162,F,2014
CO,Liam,354,M,2012
CO,Liam,348,M,2013
CO,Olivia,341,F,2014
CT,Olivia,256,F,2014
CT,Emma,246,F,2012
CT,Olivia,235,F,2013
DC,William,94,M,2012
DC,William,87,M,2013
DC,Alexander,77,M,2013
DE,Sophia,70,F,2014
DE,Liam,68,M,2014
DE,Sophia,67,F,2012
FL,Isabella,1584,F,2012
FL,Isabella,1459,F,2013
FL,Isabella,1459,F,2014
GA,William,777,M,2012
GA,William,769,M,2013
GA,William,719,M,2014
HI,Noah,99,M,2014
HI,Sophia,94,F,2012
HI,Liam,86,M,2013
IA,Emma,243,F,2012
IA,Sophia,223,F,2012
IA,Liam,218,M,2013
ID,Emma,134,F,2013
ID,Liam,130,M,2012
ID,Olivia,121,F,2013
IL,Sophia,959,F,2012
IL,Olivia,901,F,2014
IL,Olivia,888,F,2013
IN,Liam,511,M,2013
IN,Liam,497,M,2012
IN,Liam,477,M,2014
KS,Emma,238,F,2012
KS,Emma,217,F,2013
KS,Olivia,212,F,2014
KY,William,360,M,2014
KY,Emma,356,F,2012
KY,William,352,M,2012
LA,Emma,318,F,2012
LA,Mason,312,M,2012
LA,Mason,296,M,2014
MA,Emma,506,F,2012
MA,Sophia,503,F,2012
MA,Benjamin,501,M,2013
MD,Mason,363,M,2012
MD,Sophia,358,F,2012
MD,Olivia,347,F,2014
ME,Liam,103,M,2014
ME,Emma,101,F,2012
ME,Mason,100,M,2012
MI,Mason,657,M,2012
MI,Emma,647,F,2013
MI,Emma,646,F,2012
MN,Emma,367,F,2012
MN,Olivia,367,F,2012
MN,Olivia,365,F,2013
MO,Emma,472,F,2012
MO,Mason,439,M,2012
MO,William,435,M,2013
MS,William,241,M,2013
MS,William,226,M,2014
MS,William,225,M,2012
MT,Emma,84,F,2013
MT,Liam,80,M,2013
MT,Liam,67,M,2012
NC,William,728,M,2014
NC,William,709,M,2012
NC,William,704,M,2013
ND,Emma,92,F,2013
ND,Olivia,70,F,2013
ND,Harper,69,F,2014
NE,Emma,157,F,2012
NE,Liam,153,M,2012
NE,Liam,149,M,2014
NH,Emma,100,F,2012
NH,Mason,100,M,2012
NH,Sophia,100,F,2012
NJ,Michael,646,M,2012
NJ,Sophia,643,F,2012
NJ,Isabella,620,F,2013
NM,Sophia,161,F,2012
NM,Noah,148,M,2013
NM,Sophia,145,F,2013
NV,Sophia,207,F,2013
NV,Sophia,197,F,2012
NV,Emma,194,F,2014
NY,Sophia,1413,F,2012
NY,Sophia,1389,F,2013
NY,Michael,1388,M,2012
OH,Mason,851,M,2012
OH,Sophia,836,F,2012
OH,Emma,822,F,2012
OK,Emma,285,F,2013
OK,Emma,283,F,2012
OK,Emma,249,F,2014
OR,Emma,266,F,2012
OR,Sophia,264,F,2012
OR,Liam,260,M,2013
PA,Emma,899,F,2013
PA,Emma,877,F,2014
PA,Emma,873,F,2012
RI,Sophia,105,F,2012
RI,Mason,96,M,2012
RI,Ava,94,F,2012
SC,William,402,M,2012
SC,William,363,M,2014
SC,William,342,M,2013
SD,Liam,82,M,2013
SD,Liam,72,M,2012
SD,Emma,71,F,2013
TN,William,580,M,2012
TN,William,551,M,2013
TN,William,544,M,2014
TX,Sophia,2386,F,2013
TX,Sophia,2332,F,2012
TX,Emma,2177,F,2014
UT,Olivia,313,F,2014
UT,William,282,M,2014
UT,William,281,M,2012
VA,William,647,M,2012
VA,William,598,M,2013
VA,William,590,M,2014
VT,Liam,47,M,2014
VT,Mason,43,M,2012
VT,Mason,43,M,2013
WA,Sophia,476,F,2012
WA,Liam,464,M,2013
WA,Olivia,453,F,2014
WI,Mason,430,M,2012
WI,Liam,395,M,2013
WI,Mason,385,M,2014
WV,Emma,171,F,2012
WV,Mason,157,M,2012
WV,Emma,151,F,2013
WY,Sophia,42,F,2013
WY,Liam,41,M,2012
WY,Emma,40,F,2012
